gene_id,gene_name,Category,Gene Symbol
MtrunA17Chr1g0156811,MtrunA17Chr1g0156811-Symbiosome formation,Symbiosome formation,MtSYT1/MtSYT2; MtSYT2/MtSYT3
MtrunA17Chr1g0181391,MtrunA17Chr1g0181391-Symbiosome formation,Symbiosome formation,LjSYP71
MtrunA17Chr1g0199571,MtrunA17Chr1g0199571-Symbiosome formation,Symbiosome formation,MtSYT1/MtSYT2; MtSYT2/MtSYT3
MtrunA17Chr2g0291651,MtrunA17Chr2g0291651-Symbiosome formation,Symbiosome formation,MtVAMP721d/MtVAMP721e
MtrunA17Chr2g0322801,MtrunA17Chr2g0322801-Symbiosome formation,Symbiosome formation,MtSYP132
MtrunA17Chr3g0134711,MtrunA17Chr3g0134711-Symbiosome formation,Symbiosome formation,MtZPT2
MtrunA17Chr4g0004661,MtrunA17Chr4g0004661-Symbiosome formation,Symbiosome formation,MtRab7a1/MtRab7a2
MtrunA17Chr4g0030861,MtrunA17Chr4g0030861-Symbiosome formation,Symbiosome formation,MtTIP1g
MtrunA17Chr4g0034871,MtrunA17Chr4g0034871-Symbiosome formation,Symbiosome formation,MtRab7a1/MtRab7a2
MtrunA17Chr4g0037111,MtrunA17Chr4g0037111-Symbiosome formation,Symbiosome formation,MtSYT1/MtSYT2; MtSYT2/MtSYT3
MtrunA17Chr4g0037121,MtrunA17Chr4g0037121-Symbiosome formation,Symbiosome formation,MtSYT1/MtSYT2; MtSYT2/MtSYT3
MtrunA17Chr4g0043521,MtrunA17Chr4g0043521-Symbiosome formation,Symbiosome formation,MtVAMP721d/MtVAMP721e
MtrunA17Chr8g0381261,MtrunA17Chr8g0381261-Symbiosome formation,Symbiosome formation,MtSymREM1
MtrunA17Chr8g0386521,MtrunA17Chr8g0386521-Symbiosome formation,Symbiosome formation,MtγECS
MtrunA17Chr1g0151801,MtrunA17Chr1g0151801-Senescence,Senescence,MtVPE
MtrunA17Chr1g0155781,MtrunA17Chr1g0155781-Senescence,Senescence,MtCYP15a
MtrunA17Chr3g0133391,MtrunA17Chr3g0133391-Senescence,Senescence,MtSER6
MtrunA17Chr4g0005581,MtrunA17Chr4g0005581-Senescence,Senescence,MtFER3
MtrunA17Chr4g0041081,MtrunA17Chr4g0041081-Senescence,Senescence,MtCP6
MtrunA17Chr4g0042561,MtrunA17Chr4g0042561-Senescence,Senescence,MtNAC969
MtrunA17Chr5g0398211,MtrunA17Chr5g0398211-Senescence,Senescence,MtSGR
MtrunA17Chr5g0437531,MtrunA17Chr5g0437531-Senescence,Senescence,LjNFRe
MtrunA17Chr6g0484671,MtrunA17Chr6g0484671-Senescence,Senescence,GmFWL1
MtrunA17Chr7g0264231,MtrunA17Chr7g0264231-Rhizobial Infection,Rhizobial Infection,MtSKL(LjEIN2a)
MtrunA17Chr1g0177091,MtrunA17Chr1g0177091-Rhizobial Infection,Rhizobial Infection,MtNF-YA1
MtrunA17Chr1g0197491,MtrunA17Chr1g0197491-Rhizobial Infection,Rhizobial Infection,MtRPG
MtrunA17Chr1g0199681,MtrunA17Chr1g0199681-Rhizobial Infection,Rhizobial Infection,MtARF16a
MtrunA17Chr1g0205281,MtrunA17Chr1g0205281-Rhizobial Infection,Rhizobial Infection,pvNod22
MtrunA17Chr3g0097821,MtrunA17Chr3g0097821-Rhizobial Infection,Rhizobial Infection,LjARPC1
MtrunA17Chr3g0117921,MtrunA17Chr3g0117921-Rhizobial Infection,Rhizobial Infection,LjRINRK1
MtrunA17Chr3g0123331,MtrunA17Chr3g0123331-Rhizobial Infection,Rhizobial Infection,LjNPL
MtrunA17Chr3g0137261,MtrunA17Chr3g0137261-Rhizobial Infection,Rhizobial Infection,MtFLOT2
MtrunA17Chr3g0137271,MtrunA17Chr3g0137271-Rhizobial Infection,Rhizobial Infection,MtFLOT4
MtrunA17Chr3g0138431,MtrunA17Chr3g0138431-Rhizobial Infection,Rhizobial Infection,MtRbohA
MtrunA17Chr3g0144381,MtrunA17Chr3g0144381-Rhizobial Infection,Rhizobial Infection,LjLAN
MtrunA17Chr4g0027691,MtrunA17Chr4g0027691-Rhizobial Infection,Rhizobial Infection,"PvAGO5, GmAGO5"
MtrunA17Chr4g0027701,MtrunA17Chr4g0027701-Rhizobial Infection,Rhizobial Infection,"PvAGO5, GmAGO5"
MtrunA17Chr4g0030621,MtrunA17Chr4g0030621-Rhizobial Infection,Rhizobial Infection,MtEXO70H4
MtrunA17Chr4g0034301,MtrunA17Chr4g0034301-Rhizobial Infection,Rhizobial Infection,LjGLB1
MtrunA17Chr4g0037611,MtrunA17Chr4g0037611-Rhizobial Infection,Rhizobial Infection,MtGA2ox10
MtrunA17Chr4g0043744,MtrunA17Chr4g0043744-Rhizobial Infection,Rhizobial Infection,LjNAP1
MtrunA17Chr4g0043751,MtrunA17Chr4g0043751-Rhizobial Infection,Rhizobial Infection,LjNAP1
MtrunA17Chr4g0072901,MtrunA17Chr4g0072901-Rhizobial Infection,Rhizobial Infection,MtSPK1
MtrunA17Chr4g0075091,MtrunA17Chr4g0075091-Rhizobial Infection,Rhizobial Infection,LjSCARN
MtrunA17Chr5g0393901,MtrunA17Chr5g0393901-Rhizobial Infection,Rhizobial Infection,PvTOR
MtrunA17Chr5g0405421,MtrunA17Chr5g0405421-Rhizobial Infection,Rhizobial Infection,MtCDPK1
MtrunA17Chr5g0413431,MtrunA17Chr5g0413431-Rhizobial Infection,Rhizobial Infection,PvPI3K
MtrunA17Chr5g0414657,MtrunA17Chr5g0414657-Rhizobial Infection,Rhizobial Infection,MtMMPL
MtrunA17Chr6g0461061,MtrunA17Chr6g0461061-Rhizobial Infection,Rhizobial Infection,MtERN2
MtrunA17Chr6g0469911,MtrunA17Chr6g0469911-Rhizobial Infection,Rhizobial Infection,MtPIN2/MtPIN3/MtPIN4
MtrunA17Chr7g0272591,MtrunA17Chr7g0272591-Rhizobial Infection,Rhizobial Infection,PvNF-YC1
MtrunA17Chr7g0275041,MtrunA17Chr7g0275041-Rhizobial Infection,Rhizobial Infection,MtNSP1
MtrunA17Chr8g0371501,MtrunA17Chr8g0371501-Rhizobial Infection,Rhizobial Infection,GmSGF14c/GmSGF14l
MtrunA17Chr8g0391161,MtrunA17Chr8g0391161-Rhizobial Infection,Rhizobial Infection,MtCRE1 (L.O.F)
MtrunA17Chr7g0264181,MtrunA17Chr7g0264181-Nodule Organogenesis,Nodule Organogenesis,MtLOG1
MtrunA17Chr7g0231221,MtrunA17Chr7g0231221-Nodule Organogenesis,Nodule Organogenesis,GmEXPB2
MtrunA17Chr1g0147631,MtrunA17Chr1g0147631-Nodule Organogenesis,Nodule Organogenesis,MtNIP/MtLATD/MtNPF1.7
MtrunA17Chr1g0149651,MtrunA17Chr1g0149651-Nodule Organogenesis,Nodule Organogenesis,MtKNAT3/MtKNAT5/MtKNAT9/MtKNAT10
MtrunA17Chr1g0151141,MtrunA17Chr1g0151141-Nodule Organogenesis,Nodule Organogenesis,GmGα
MtrunA17Chr1g0160461,MtrunA17Chr1g0160461-Nodule Organogenesis,Nodule Organogenesis,MtPIN2/MtPIN3/MtPIN4
MtrunA17Chr1g0161531,MtrunA17Chr1g0161531-Nodule Organogenesis,Nodule Organogenesis,GmINS1
MtrunA17Chr1g0181791,MtrunA17Chr1g0181791-Nodule Organogenesis,Nodule Organogenesis,LjSUNER1
MtrunA17Chr1g0184941,MtrunA17Chr1g0184941-Nodule Organogenesis,Nodule Organogenesis,"GmGγ1/GmGγ2/GmGγ3/GmGγ4/GmGγ5/GmGγ6/GmGγ7/GmGγ8/GmGγ9,GmGγ10"
MtrunA17Chr1g0185751,MtrunA17Chr1g0185751-Nodule Organogenesis,Nodule Organogenesis,LjIPT3
MtrunA17Chr1g0196911,MtrunA17Chr1g0196911-Nodule Organogenesis,Nodule Organogenesis,"MtLIN, LjLIN"
MtrunA17Chr2g0294361,MtrunA17Chr2g0294361-Nodule Organogenesis,Nodule Organogenesis,LjPHYB
MtrunA17Chr2g0299371,MtrunA17Chr2g0299371-Nodule Organogenesis,Nodule Organogenesis,LjCKX3
MtrunA17Chr2g0328971,MtrunA17Chr2g0328971-Nodule Organogenesis,Nodule Organogenesis,MtPLT1/MtPLT2/MtPLT3/MtPLT4
MtrunA17Chr2g0331081,MtrunA17Chr2g0331081-Nodule Organogenesis,Nodule Organogenesis,MtPEN3-like
MtrunA17Chr2g0305101,MtrunA17Chr2g0305101-Nodule Organogenesis,Nodule Organogenesis,MtKNAT3/MtKNAT5/MtKNAT9/MtKNAT10
MtrunA17Chr3g0082861,MtrunA17Chr3g0082861-Nodule Organogenesis,Nodule Organogenesis,MtRR5MtRR9/MtRR11
MtrunA17Chr3g0083891,MtrunA17Chr3g0083891-Nodule Organogenesis,Nodule Organogenesis,PvBECLIN1
MtrunA17Chr3g0121271,MtrunA17Chr3g0121271-Nodule Organogenesis,Nodule Organogenesis,MtBG2
MtrunA17Chr3g0123191,MtrunA17Chr3g0123191-Nodule Organogenesis,Nodule Organogenesis,GmRGS1
MtrunA17Chr3g0123191,MtrunA17Chr3g0123191-Nodule Organogenesis,Nodule Organogenesis,GmRGS1
MtrunA17Chr3g0123461,MtrunA17Chr3g0123461-Nodule Organogenesis,Nodule Organogenesis,LjGLE1
MtrunA17Chr3g0123651,MtrunA17Chr3g0123651-Nodule Organogenesis,Nodule Organogenesis,MtZR1
MtrunA17Chr3g0132471,MtrunA17Chr3g0132471-Nodule Organogenesis,Nodule Organogenesis,MtBHLH1
MtrunA17Chr3g0137241,MtrunA17Chr3g0137241-Nodule Organogenesis,Nodule Organogenesis,MtKNAT3/MtKNAT5/MtKNAT9/MtKNAT10
MtrunA17Chr3g0143921,MtrunA17Chr3g0143921-Nodule Organogenesis,Nodule Organogenesis,MtNLP1
MtrunA17Chr3g0144511,MtrunA17Chr3g0144511-Nodule Organogenesis,Nodule Organogenesis,GmGβ1/GmGβ2/GmGβ3/GmGβ4
MtrunA17Chr3g0094861,MtrunA17Chr3g0094861-Nodule Organogenesis,Nodule Organogenesis,LjBZF
MtrunA17Chr4g0002631,MtrunA17Chr4g0002631-Nodule Organogenesis,Nodule Organogenesis,MtEFD
MtrunA17Chr3g0082861,MtrunA17Chr3g0082861-Nodule Organogenesis,Nodule Organogenesis,MtRR5MtRR9/MtRR11
MtrunA17Chr4g0032631,MtrunA17Chr4g0032631-Nodule Organogenesis,Nodule Organogenesis,MtPLT1/MtPLT2/MtPLT3/MtPLT4
MtrunA17Chr4g0045841,MtrunA17Chr4g0045841-Nodule Organogenesis,Nodule Organogenesis,LjMPK6
