locus_tag	acronym	geneProduct	genePublication
MtrunA17Chr0c01g0489261	MtIDA20	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr0c02g0489691	MtNCR503	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr0c02g0489761	MtCDPK21	calcium-dependent protein kinase21	PMID:30129677
MtrunA17Chr0c05g0492161	MtHAG49	Histone acetyltransferase of the GNAT family	PMID:35161303
MtrunA17Chr0c19g0493771	MtCYP97A10	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr0c32g0494191	MtNCR-new1	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr1g0146161	MtTIP1e	tonoplast intrinsic protein 1e (aquaporin)	PMID:25217511
MtrunA17Chr1g0146201	NUP85-like	nucleoporin	
MtrunA17Chr1g0146641	MtYSL2	Yellow Stripe-Like2 (metal transporter)	PMID:32841350
MtrunA17Chr1g0146651	MtYSL4	Yellow Stripe-Like4 (metal transporter)	PMID:32841350
MtrunA17Chr1g0146731	MtSDG1	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0146761	MtSDG2	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0146831	MtBG13	"beta-1,3-Glucanase 13"	PMID:30416059
MtrunA17Chr1g0147021	MtJMJ1	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr1g0147041	LjSINA4-like	Seven in absentia 4 E23 ligase	PMID:22534128
MtrunA17Chr1g0147121	MtSDG3	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0147151	MtSPP	signal peptide peptidase (TC44385)	PMID:12746522
MtrunA17Chr1g0147401	MtPhytogb3.2|MtGlb3-2	truncated hemoglobin (tr-Hb)	PMID:32003030|PMID:32442331
MtrunA17Chr1g0147491	MtbZIP-627	bZIP transcription factor 627 (TC120540)	PMID:22419822
MtrunA17Chr1g0147591	MtNPF1.8	NRT1/ PTR FAMILY|nitrate transporter / peptide transporter family	PMID:27375649
MtrunA17Chr1g0147601	MtEPCL1	(glycosyl transferase 64 family)	PMID:33857428
MtrunA17Chr1g0147631	MtLATD/NIP|MtNPF1.7	lateral root organ defective/NUMEROUS INFECTIONS AND POLYPHENOLICS|NRT1/ PTR FAMILY|nitrate / peptide transporter family	PMID:25192698|PMID:27375649
MtrunA17Chr1g0147651	MtGT-1	trihelix transcription factor (GT) 1	PMID:33238556
MtrunA17Chr1g0147821	MtNodGRP47	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr1g0147901	MtCTLA1	Cytotoxic T-Lymphocyte Antigen 2 alpha	PMID:29030416
MtrunA17Chr1g0147981	MtAHA7	Plasma membrane proton pump 	PMID:26188545
