gene_id	acronym	PRODUCT	GO	EC	ACTIVITY	KINASE	BEST_HIT	BEST_SCORE	PUBMED	IPR
MtrunA17Chr0c32g0494191	MtNCR-new1	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0314041	MtNCR-new10	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0314051	MtNCR-new11	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0314521	MtNCR-new12	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0320871	MtNCR-new13	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0082591	MtNCR-new14	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0093511	MtNCR-new15	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0095311	MtNCR-new16	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0102031	MtNCR-new17	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0104131	MtNCR-new18	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0107781	MtNCR-new19	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr1g0148581	MtNCR-new2	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0108501	MtNCR-new20	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0108531	MtNCR-new21	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0108881	MtNCR-new22	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0109191	MtNCR-new23	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0109291	MtNCR-new24	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0110791	MtNCR-new25	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0113841	MtNCR-new26	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0113861	MtNCR-new27	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr3g0135121	MtNCR-new28	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0007351	MtNCR-new29	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr1g0169931	MtNCR-new3	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0007861	MtNCR-new30	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0012311	MtNCR-new32	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0013891	MtNCR-new33	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0018011	MtNCR-new34	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0020291	MtNCR-new35	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0021791	MtNCR-new36	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0021861	MtNCR-new37	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0023531	MtNCR-new38	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0029611	MtNCR-new39	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr1g0172441	MtNCR-new4	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0029901	MtNCR-new40	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0035991	MtNCR-new41	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr4g0046471	MtNCR-new42	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr5g0425201	MtNCR-new43	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr5g0426821	MtNCR-new44	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr5g0431021	MtNCR-new45	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr5g0431081	MtNCR-new46	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0452651	MtNCR-new47	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0464941	MtNCR-new48	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0465001	MtNCR-new49	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0302841	MtNCR-new5	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0465541	MtNCR-new50	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0465571	MtNCR-new51	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0466371	MtNCR-new52	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0466391	MtNCR-new53	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0466411	MtNCR-new54	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0474251	MtNCR-new55	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0475531	MtNCR-new56	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0475581	MtNCR-new57	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0475771	MtNCR-new58	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0479931	MtNCR-new59	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0306331	MtNCR-new6	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0479951	MtNCR-new60	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0480571	MtNCR-new61	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0487741	MtNCR-new62	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0487801	MtNCR-new63	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0487831	MtNCR-new64	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0216101	MtNCR-new65	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0216121	MtNCR-new66	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0216351	MtNCR-new67	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0219911	MtNCR-new68	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0224771	MtNCR-new69	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0307051	MtNCR-new7	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0225491	MtNCR-new70	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0226341	MtNCR-new71	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0226381	MtNCR-new72	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0226641	MtNCR-new73	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0227551	MtNCR-new74	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0236721	MtNCR-new75	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0237531	MtNCR-new76	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0237951	MtNCR-new77	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0239531	MtNCR-new78	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr7g0239991	MtNCR-new79	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0310004	MtNCR-new8	Nodule-specific Cysteine-Rich peptide	NA	NA	NA	NA	NA	NA	PMID:35471237	NA
MtrunA17Chr8g0349631	MtNCR-new80	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0357551	MtNCR-new81	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0358331	MtNCR-new82	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0358371	MtNCR-new83	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0358381	MtNCR-new84	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0361191	MtNCR-new85	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr8g0373251	MtNCR-new86	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr5g0424394	MtNCR-new87	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr2g0313981	MtNCR-new9	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:35471237	putative Late nodulin
MtrunA17Chr6g0475711	MtNCR001	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0475741	MtNCR002	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0475471	MtNCR003	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0475011	MtNCR004	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0475541	MtNCR005	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0472941	MtNCR006	Nodule-specific Cysteine-Rich peptide	GO:0016020;GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0475551	MtNCR007	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr6g0477551	MtNCR008	Nodule-specific Cysteine-Rich peptide	GO:0016021;GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
MtrunA17Chr5g0420651	MtNCR009	Nodule-specific Cysteine-Rich peptide	GO:0046872	NA	NA	NA	NA	NA	PMID:28438996|PMID:29030416	putative Late nodulin
